F1,F2,F3
3.808,133.20354295587208,1587.5000000000005
3.797,123.22284582084612,1608.7000000000003
3.797,123.22284582084612,1608.7000000000003
3.787,115.28820049011854,1612.3000000000002
3.787,114.98552362360606,1621.3000000000004
3.787,114.98552362360606,1621.3000000000004
3.771,104.07970296968477,1623.2
3.771,104.02060015933452,1641.6999999999998
3.771,103.34246829120265,1655.9000000000003
3.771,103.34246829120265,1655.9000000000003
3.761,97.91710075187984,1657.4999999999998
3.761,97.91710075187984,1657.4999999999998
3.756,93.84756901748055,1662.2000000000003
3.756,93.84756901748055,1662.2000000000003
3.745,88.87043666478459,1683.8000000000004
3.745,88.87043666478459,1683.8000000000004
3.745,88.28540796755998,1697.2
3.74,86.66795593635263,1700.4000000000003
3.74,86.66795593635263,1700.4000000000003
3.74,85.74372767063129,1715.7
3.74,85.74372767063129,1715.7
3.73,80.71343087292463,1727.4000000000003
3.73,80.71343087292463,1727.4000000000003
3.719,77.31584880382783,1735.7
3.719,77.31584880382783,1735.7
3.719,76.74670594055155,1764.8000000000002
3.719,76.74670594055155,1764.8000000000002
3.704,72.74428399311539,1772.9000000000003
3.704,72.74428399311539,1772.9000000000003
3.699,72.15460911637389,1803.5000000000002
3.699,72.15460911637389,1803.5000000000002
3.693,71.21389483065961,1813.1000000000001
3.693,71.21389483065961,1813.1000000000001
3.688,70.38132495902111,1847.4000000000003
3.688,70.38132495902111,1847.4000000000003
3.667,68.12093335749019,1855.7000000000003
3.662,68.62223504089548,1869.5000000000002
3.662,68.62223504089548,1869.5000000000002
3.683,68.12020023454812,1893.1000000000004
3.683,68.12020023454812,1893.1000000000004
3.678,68.06845276042337,1916.7
3.678,68.06845276042337,1916.7
3.678,67.96416785423003,1924.6000000000004
3.678,67.96416785423003,1924.6000000000004
3.636,72.4442571379932,1946.8000000000002
3.636,72.4442571379932,1946.8000000000002
3.631,73.65304684866881,1959.5
3.652,71.41863444879131,1988.1000000000004
3.652,71.41863444879131,1988.1000000000004
3.647,69.55497296182088,1993.7000000000003
3.647,69.55497296182088,1993.7000000000003
3.631,72.77186990787003,2013.9
3.667,67.54910401497823,2030.1999999999998
3.631,72.72780152214946,2040.7
3.6,84.46064855815446,2054.3
3.662,67.82768327541484,2056.5
3.667,67.19964054940424,2069.3
3.667,66.74446114881327,2099.7000000000003
3.667,66.74446114881327,2099.7000000000003
3.631,72.08881875641552,2106.5000000000005
3.657,69.2320085669536,2121.7
3.657,69.17833114759875,2128.5
3.662,67.13456757629189,2139.0
3.626,75.01390536999244,2158.7
3.657,68.96113002939097,2160.0
3.626,74.02660822814411,2174.3
3.61,79.24335218924493,2191.500000000001
3.616,77.219921855922,2195.7999999999997
3.616,77.219921855922,2195.7999999999997
3.6,83.90155815199311,2214.7
3.605,81.28290432414046,2221.5999999999995
3.631,71.8199263640651,2260.1
3.631,71.8199263640651,2260.1
3.636,71.60639720290861,2277.1
3.626,73.9680432999879,2295.6
3.6,83.4648398571894,2312.3000000000006
3.6,83.20913104372201,2339.9
3.61,78.60790429011358,2353.5
3.61,78.50750923260604,2367.5
3.61,78.50750923260604,2367.5
3.616,76.48272133029094,2387.6000000000004
3.616,76.31900387584903,2399.6
3.616,76.31900387584903,2399.6
3.6,83.09641199964018,2424.5000000000005
3.621,75.72605089927268,2433.9000000000005
3.621,75.72605089927268,2433.9000000000005
3.6,82.66454123703862,2448.5000000000005
3.642,71.0820102391473,2475.4
3.642,70.76748210061916,2484.3999999999996
3.642,70.76748210061916,2484.3999999999996
3.642,69.35262796554731,2496.8
3.626,72.97025539933601,2521.6
3.626,72.88656198830957,2534.4
3.642,69.2907802708057,2552.4
3.631,71.34919735973608,2597.7999999999997
3.631,71.34919735973608,2597.7999999999997
3.605,80.21607037218914,2622.2000000000003
3.605,80.21607037218914,2622.2000000000003
3.6,82.40771260092814,2664.9999999999995
3.6,82.40771260092814,2664.9999999999995
