RunID,F1,F2,F3
4,1.482,17.61346436,9971.7684
4,1.5,16.56018829,10443.3747
4,1.504,15.83682632,10149.3896
4,1.504,16.11472702,9389.5678
4,1.504,16.1418457,9343.4467
4,1.504,16.55110168,9178.0763
4,1.507,14.79396248,10791.4246
4,1.507,15.60653687,8864.2235
4,1.511,15.49926186,10458.4466
4,1.514,14.63222504,9967.569
4,1.514,15.08714294,8781.1309
4,1.518,14.90802574,9882.8835
4,1.521,14.5795784,9579.4476
4,1.525,13.76979065,10567.4949
4,1.525,13.76979065,10567.4949
4,1.525,14.07618713,9753.6672
4,1.525,14.28960609,9646.5221
4,1.525,14.69734383,9318.8001
4,1.529,13.42538548,9869.0273
4,1.529,13.70528889,9754.4385
4,1.529,14.16948032,9372.9501
4,1.532,13.30840015,9900.084
4,1.532,13.56676197,9761.5007
4,1.536,12.87399292,10833.71
4,1.536,13.28134918,9178.0396
4,1.539,12.77001953,9630.1259
4,1.543,13.19961739,9141.9883
4,1.546,11.87080956,10162.2259
4,1.546,12.13846207,9927.5055
4,1.546,12.28032684,9646.0905
4,1.546,12.59671211,9437.6952
4,1.546,12.93887138,9406.6257
4,1.546,13.01640129,9129.6967
4,1.55,11.48082352,10880.0722
4,1.55,11.68396187,10072.1767
4,1.55,11.8376112,9027.043
4,1.55,12.64358521,8944.0018
4,1.55,13.39875603,8662.3399
4,1.55,13.72413445,8634.7763
4,1.554,11.64935589,9762.3698
4,1.554,12.60314369,8875.845
4,1.557,11.57204628,10186.8452
4,1.557,12.52926445,8770.3817
4,1.561,11.03972626,10292.1967
4,1.561,11.42722893,9346.9867
4,1.561,11.8563652,8834.077
4,1.561,11.8563652,8834.077
4,1.564,10.79973221,9951.4809
4,1.564,10.79973221,9951.4809
4,1.564,11.10991955,9862.5512
4,1.564,11.41813183,8989.5414
4,1.568,10.58358765,10522.5082
4,1.568,10.58358765,10522.5082
4,1.568,11.09987926,9597.565
4,1.568,11.18634796,9441.6245
4,1.571,9.799779892,10068.9373
4,1.571,10.3878088,9635.2999
4,1.571,10.73370457,9537.2401
4,1.571,10.90014458,9426.7743
4,1.571,10.92115879,9099.7755
4,1.571,10.92115879,9099.7755
4,1.571,11.46542931,8767.7917
4,1.575,10.15109158,9988.9784
4,1.575,10.28928757,9761.0069
4,1.575,10.54092598,8667.9446
4,1.579,9.714684486,9467.5691
4,1.579,9.784204483,9228.3128
4,1.579,11.00013924,8646.6105
4,1.582,9.374481201,9838.7674
4,1.582,10.13476563,8746.1076
4,1.586,9.290202141,10792.5785
4,1.586,9.300386429,9797.0043
4,1.589,9.386726379,9613.8963
4,1.593,8.940881729,10348.7283
4,1.593,9.436476707,8995.7646
4,1.596,8.870146751,10231.1806
4,1.596,9.020301819,9624.2171
4,1.596,9.987937927,8654.3063
4,1.6,8.834779739,10461.1267
4,1.6,8.854616165,9498.7546
